Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft)
Andheri,2 BHK Apartment,36000,910 sq.ft,Unfurnished,2,Missing,1.0,650 sq.ft
Andheri,1 BHK Apartment,28000,600 sq.ft,Semi Furnished,1,1,2.0,400 sq.ft
Andheri,2 BHK Apartment,50000,1100 sq.ft,Fully Furnished,2,Missing,1.0,Missing
Andheri,3 BHK Apartment,55000,1300 sq.ft,Unfurnished,3,Missing,1.0,1100 sq.ft
Andheri,1 RK Apartment,18000,290 sq.ft,Unfurnished,2,Missing,0.0,228 sq.ft
Andheri,1 RK Apartment,25000,400 sq.ft,Unfurnished,1,2,2.0,360 sq.ft
Andheri,3 BHK Apartment,80000,1740 sq.ft,Semi Furnished,3,1,1.0,1250 sq.ft
Andheri,1 BHK Apartment,13240,375 sq.ft,Semi Furnished,1,1,0.0,350 sq.ft
Andheri,2 BHK Apartment,45000,1020 sq.ft,Unfurnished,2,Missing,1.0,784 sq.ft
Andheri,2 BHK Apartment,12000,980 sq.ft,Unfurnished,2,2,1.0,590 sq.ft
Andheri,1 BHK Apartment,25000,500 sq.ft,Semi Furnished,2,Missing,0.0,Missing
Andheri,1 BHK Apartment,28000,700 sq.ft,Semi Furnished,1,1,0.0,550 sq.ft
Andheri,3 BHK Apartment,50000,1340 sq.ft,Unfurnished,3,Missing,1.0,900 sq.ft
Andheri,2 BHK Apartment,86000,900 sq.ft,Semi Furnished,2,2,1.0,Missing
Andheri,1 BHK Apartment,21000,565 sq.ft,Semi Furnished,2,Missing,0.0,450 sq.ft
Andheri,1 RK Apartment,13500,350 sq.ft,Unfurnished,1,Missing,0.0,225 sq.ft
Andheri,2 BHK Apartment,46000,1195 sq.ft,Semi Furnished,2,Missing,0.0,875 sq.ft
Andheri,2 BHK Apartment,90000,1000 sq.ft,Semi Furnished,2,Missing,0.0,850 sq.ft
Andheri,2 BHK Apartment,35000,1385 sq.ft,Fully Furnished,2,1,0.0,875 sq.ft
Andheri,2 BHK Apartment,60000,1200 sq.ft,Semi Furnished,2,Missing,1.0,711 sq.ft
Andheri,2 BHK Apartment,45000,900 sq.ft,Fully Furnished,2,1,1.0,Missing
Andheri,2 BHK Apartment,38000,1100 sq.ft,Semi Furnished,2,Missing,2.0,750 sq.ft
Andheri,3 BHK Apartment,89000,1415 sq.ft,Semi Furnished,3,Missing,2.0,1015 sq.ft
Andheri,1 BHK Apartment,25000,540 sq.ft,Fully Furnished,2,1,1.0,Missing
Andheri,2 BHK Apartment,50000,935 sq.ft,Fully Furnished,2,Missing,0.0,680 sq.ft
Andheri,1 BHK Apartment,29000,550 sq.ft,Semi Furnished,2,1,0.0,Missing
Andheri,1 RK Apartment,13000,300 sq.ft,Unfurnished,1,Missing,1.0,225 sq.ft
Andheri,2 BHK Apartment,55000,900 sq.ft,Semi Furnished,2,2,1.0,720 sq.ft
Andheri,2 BHK Apartment,50000,1200 sq.ft,Semi Furnished,2,Missing,1.0,1000 sq.ft
Andheri,2 BHK Apartment,62000,864 sq.ft,Semi Furnished,2,2,1.0,720 sq.ft
Andheri,2 BHK Apartment,54000,840 sq.ft,Semi Furnished,2,1,1.0,700 sq.ft
Andheri,2 BHK Apartment,43000,840 sq.ft,Semi Furnished,2,1,1.0,700 sq.ft
Andheri,2 BHK Apartment,43000,720 sq.ft,Semi Furnished,2,Missing,1.0,600 sq.ft
Andheri,3 BHK Apartment,105000,1325 sq.ft,Semi Furnished,3,2,2.0,1081 sq.ft
Andheri,3 BHK Apartment,85000,1150 sq.ft,Semi Furnished,2,1,2.0,887 sq.ft
Andheri,1 BHK Apartment,34000,650 sq.ft,Unfurnished,1,Missing,1.0,500 sq.ft
Andheri,1 BHK Apartment,39000,650 sq.ft,Semi Furnished,1,Missing,1.0,500 sq.ft
Andheri,1 BHK Apartment,40000,600 sq.ft,Fully Furnished,1,Missing,1.0,450 sq.ft
Andheri,2 BHK Apartment,68000,950 sq.ft,Semi Furnished,2,2,1.0,680 sq.ft
Andheri,1 BHK Apartment,35000,600 sq.ft,Semi Furnished,1,Missing,1.0,480 sq.ft
Andheri,2 BHK Apartment,60000,950 sq.ft,Unfurnished,2,Missing,1.0,750 sq.ft
Andheri,3 BHK Apartment,65000,1100 sq.ft,Semi Furnished,3,2,1.0,820 sq.ft
Andheri,2 BHK Apartment,60000,1050 sq.ft,Unfurnished,2,3,2.0,750 sq.ft
Andheri,2 BHK Apartment,51000,1000 sq.ft,Semi Furnished,2,2,1.0,900 sq.ft
Andheri,2 BHK Apartment,52000,1000 sq.ft,Semi Furnished,2,2,1.0,900 sq.ft
Andheri,2 BHK Apartment,53000,1000 sq.ft,Semi Furnished,2,2,1.0,900 sq.ft
Andheri,2 BHK Apartment,54000,1000 sq.ft,Semi Furnished,2,2,1.0,900 sq.ft
Andheri,1 RK Apartment,23000,450 sq.ft,Unfurnished,1,Missing,1.0,320 sq.ft
Andheri,1 BHK Apartment,35000,650 sq.ft,Fully Furnished,2,Missing,1.0,600 sq.ft
Andheri,1 BHK Apartment,35000,650 sq.ft,Unfurnished,2,Missing,1.0,600 sq.ft
Andheri,1 BHK Apartment,25000,600 sq.ft,Unfurnished,1,1,0.0,Missing
Andheri,3 BHK Apartment,120000,1370 sq.ft,Fully Furnished,3,1,2.0,1147 sq.ft
Andheri,2 BHK Apartment,65000,950 sq.ft,Fully Furnished,2,1,1.0,690 sq.ft
Andheri,1 BHK Apartment,30700,450 sq.ft,Semi Furnished,1,Missing,1.0,400 sq.ft
Andheri,1 RK Apartment,17000,300 sq.ft,Unfurnished,1,1,0.0,Missing
Andheri,2 BHK Apartment,36000,900 sq.ft,Semi Furnished,2,Missing,1.0,Missing
Andheri,1 BHK Apartment,25000,550 sq.ft,Unfurnished,Missing,Missing,0.0,Missing
Andheri,2 BHK Apartment,50000,1100 sq.ft,Semi Furnished,2,Missing,1.0,750 sq.ft
Andheri,2 BHK Apartment,36000,850 sq.ft,Semi Furnished,2,Missing,1.0,Missing
Andheri,1 BHK Apartment,30000,600 sq.ft,Fully Furnished,1,Missing,1.0,Missing
Andheri,2 BHK Apartment,30000,650 sq.ft,Semi Furnished,1,Missing,0.0,Missing
Andheri,2 BHK Apartment,40000,750 sq.ft,Unfurnished,2,Missing,2.0,650 sq.ft
Andheri,1 BHK Apartment,25000,651 sq.ft,Semi Furnished,2,2,3.0,550 sq.ft
Andheri,3 BHK Apartment,75000,1400 sq.ft,Unfurnished,3,Missing,1.0,1050 sq.ft
Andheri,2 BHK Apartment,75000,1100 sq.ft,Semi Furnished,2,2,1.0,800 sq.ft
Andheri,2 BHK Apartment,40000,800 sq.ft,Semi Furnished,2,2,1.0,700 sq.ft
Andheri,1 BHK Apartment,32000,600 sq.ft,Unfurnished,1,1,0.0,Missing
Andheri,2 BHK Apartment,45000,900 sq.ft,Semi Furnished,2,1,1.0,670 sq.ft
Andheri,3 BHK Apartment,65000,1300 sq.ft,Semi Furnished,2,1,2.0,1100 sq.ft
Andheri,3 BHK Apartment,135000,1800 sq.ft,Fully Furnished,3,Missing,2.0,1350 sq.ft
Andheri,1 BHK Apartment,58000,700 sq.ft,Fully Furnished,1,Missing,1.0,480 sq.ft
Andheri,2 BHK Apartment,73000,1200 sq.ft,Fully Furnished,3,Missing,1.0,820 sq.ft
Andheri,2 BHK Apartment,48000,1000 sq.ft,Unfurnished,2,Missing,1.0,700 sq.ft
Andheri,3 BHK Apartment,100000,1600 sq.ft,Fully Furnished,3,1,1.0,1100 sq.ft
Andheri,1 BHK Apartment,35000,700 sq.ft,Fully Furnished,1,Missing,1.0,500 sq.ft
Andheri,2 BHK Apartment,55000,1150 sq.ft,Semi Furnished,2,Missing,1.0,750 sq.ft
Andheri,1 BHK Apartment,40000,650 sq.ft,Fully Furnished,1,Missing,1.0,480 sq.ft
Andheri,1 BHK Apartment,32000,550 sq.ft,Semi Furnished,1,Missing,0.0,420 sq.ft
Andheri,2 BHK Apartment,40000,700 sq.ft,Fully Furnished,1,Missing,1.0,500 sq.ft
Andheri,2 BHK Apartment,48000,950 sq.ft,Unfurnished,2,Missing,1.0,700 sq.ft
Andheri,2 BHK Apartment,53000,1000 sq.ft,Fully Furnished,2,1,1.0,700 sq.ft
Andheri,1 BHK Apartment,45000,650 sq.ft,Fully Furnished,2,1,1.0,485 sq.ft
Andheri,1 BHK Apartment,46000,580 sq.ft,Fully Furnished,1,Missing,0.0,445 sq.ft
Andheri,1 RK Apartment,19000,325 sq.ft,Unfurnished,1,Missing,1.0,250 sq.ft
Andheri,1 BHK Apartment,34000,650 sq.ft,Fully Furnished,2,1,1.0,510 sq.ft
Andheri,1 BHK Apartment,32000,550 sq.ft,Semi Furnished,1,1,1.0,430 sq.ft
Andheri,2 BHK Apartment,45000,900 sq.ft,Semi Furnished,2,2,1.0,650 sq.ft
Andheri,1 BHK Apartment,41000,600 sq.ft,Semi Furnished,1,Missing,1.0,475 sq.ft
Andheri,2 BHK Apartment,60000,1080 sq.ft,Fully Furnished,2,Missing,1.0,730 sq.ft
Andheri,2 BHK Apartment,105000,1200 sq.ft,Fully Furnished,2,1,1.0,820 sq.ft
Andheri,1 RK Apartment,18000,350 sq.ft,Semi Furnished,1,Missing,0.0,250 sq.ft
Andheri,1 BHK Apartment,34000,560 sq.ft,Semi Furnished,1,Missing,1.0,445 sq.ft
Andheri,1 BHK Apartment,35000,580 sq.ft,Fully Furnished,1,1,1.0,435 sq.ft
Andheri,1 BHK Apartment,38000,600 sq.ft,Fully Furnished,1,1,1.0,500 sq.ft
Andheri,2 BHK Apartment,62000,1000 sq.ft,Unfurnished,2,Missing,1.0,700 sq.ft
Andheri,3 BHK Apartment,70000,1450 sq.ft,Unfurnished,3,1,1.0,1000 sq.ft
Andheri,3 BHK Apartment,75000,1300 sq.ft,Semi Furnished,3,Missing,1.0,1000 sq.ft
Andheri,3 BHK Apartment,155000,2000 sq.ft,Semi Furnished,3,1,3.0,1450 sq.ft
Andheri,1 BHK Apartment,38000,620 sq.ft,Fully Furnished,1,Missing,0.0,485 sq.ft
Andheri,2 BHK Apartment,49000,950 sq.ft,Unfurnished,2,1,1.0,670 sq.ft
Andheri,1 BHK Apartment,30000,500 sq.ft,Semi Furnished,1,Missing,1.0,Missing
Andheri,1 BHK Apartment,32000,550 sq.ft,Semi Furnished,1,Missing,1.0,450 sq.ft
Andheri,1 BHK Apartment,28000,620 sq.ft,Semi Furnished,1,Missing,1.0,520 sq.ft
Andheri,2 BHK Apartment,60000,950 sq.ft,Semi Furnished,2,Missing,1.0,850 sq.ft
Andheri,3 BHK Apartment,57000,1950 sq.ft,Fully Furnished,3,1,1.0,Missing
Andheri,1 BHK Apartment,18000,400 sq.ft,Semi Furnished,1,Missing,0.0,350 sq.ft
Andheri,3 BHK Apartment,65000,1600 sq.ft,Unfurnished,3,3,1.0,1000 sq.ft
Andheri,2 BHK Apartment,50000,1250 sq.ft,Semi Furnished,2,2,1.0,750 sq.ft
Andheri,2 BHK Apartment,56000,900 sq.ft,Unfurnished,2,Missing,1.0,Missing
Andheri,2 BHK Apartment,40000,710 sq.ft,Unfurnished,2,Missing,1.0,Missing
Andheri,1 BHK Apartment,40000,665 sq.ft,Semi Furnished,1,Missing,1.0,565 sq.ft
Andheri,1 BHK Apartment,26000,550 sq.ft,Fully Furnished,1,Missing,0.0,Missing
Andheri,1 BHK Apartment,26000,600 sq.ft,Unfurnished,1,Missing,0.0,Missing
Andheri,2 BHK Apartment,48000,950 sq.ft,Fully Furnished,2,Missing,1.0,Missing
Andheri,2 BHK Apartment,50000,700 sq.ft,Semi Furnished,2,Missing,2.0,Missing
Andheri,3 BHK Apartment,65000,1250 sq.ft,Semi Furnished,2,2,1.0,850 sq.ft
Andheri,2 BHK Apartment,40000,800 sq.ft,Semi Furnished,2,Missing,1.0,700 sq.ft
